"","Port.Name","Border","Date","Measure","Lon","Lat","EXMXUS_20191202","LRUNTTTTCAM156S","PredictedValue"
"52","Vanceboro","US-Canada Border",2019-03-01,"Personal Vehicles",-67.42955,45.55984,19.2442,5.8,-1978.26470178846
"53","Neche","US-Canada Border",2019-03-01,"Buses",-97.55444,48.98611,19.2442,5.8,366.229839465803
"54","Houlton","US-Canada Border",2019-03-01,"Truck Containers Full",-67.84083,46.12611,19.2442,5.8,2155.09963624609
"55","Norton","US-Canada Border",2019-03-01,"Trains",-71.79528,45.01,19.2442,5.8,612.770448622924
"56","Del Rio","US-Mexico Border",2019-03-01,"Personal Vehicle Passengers",-100.89639,29.3625,19.2442,5.8,200074.091478353
"57","Houlton","US-Canada Border",2019-03-01,"Bus Passengers",-67.84083,46.12611,19.2442,5.8,2155.09963624609
"58","Metaline Falls","US-Canada Border",2019-03-01,"Personal Vehicles",-117.36037,48.85798,19.2442,5.8,-1390.71825484376
"59","Houlton","US-Canada Border",2019-03-01,"Personal Vehicles",-67.84083,46.12611,19.2442,5.8,20005.3651150466
"60","Sault Sainte Marie","US-Canada Border",2019-03-01,"Personal Vehicles",-84.29889,46.47028,19.2442,5.8,78857.9003322418
"61","Fort Fairfield","US-Canada Border",2019-03-01,"Personal Vehicles",-67.82965,46.76891,19.2442,5.8,7008.65249447405
"62","Noonan","US-Canada Border",2019-03-01,"Bus Passengers",-103.00333,48.88232,19.2442,5.8,606.843024968567
"63","Westhope","US-Canada Border",2019-03-01,"Trucks",-101.02001,48.9094,19.2442,5.8,558.138850528183
"64","Van Buren","US-Canada Border",2019-03-01,"Personal Vehicles",-67.94271,47.16207,19.2442,5.8,17915.1863175751
"65","Massena","US-Canada Border",2019-03-01,"Truck Containers Empty",-74.74,44.98944,19.2442,5.8,1370.73804226316
"66","Blaine","US-Canada Border",2019-03-01,"Trucks",-122.74583,48.99389,19.2442,5.8,13630.1733837857
"67","Douglas","US-Mexico Border",2019-03-01,"Trucks",-109.54472,31.34444,19.2442,5.8,2782.64074916792
"68","Port Huron","US-Canada Border",2019-03-01,"Rail Containers Full",-82.47889,42.97583,19.2442,5.8,22550.2216334537
"69","Champlain-Rouses Point","US-Canada Border",2019-03-01,"Truck Containers Full",-73.44694,44.98639,19.2442,5.8,11979.8810953552
"70","Champlain-Rouses Point","US-Canada Border",2019-03-01,"Personal Vehicles",-73.44694,44.98639,19.2442,5.8,80341.5806122366
"71","Nogales","US-Mexico Border",2019-03-01,"Truck Containers Empty",-110.93361,31.34028,19.2442,5.8,10168.2065228441
"72","Scobey","US-Canada Border",2019-03-01,"Truck Containers Full",-105.44272,48.80707,19.2442,5.8,868.394607603918
"73","Del Bonita","US-Canada Border",2019-03-01,"Personal Vehicles",-112.32481,48.63274,19.2442,5.8,1881.28440687826
"74","Bridgewater","US-Canada Border",2019-03-01,"Truck Containers Empty",-67.84262,46.41923,19.2442,5.8,445.599601184444
"75","Santa Teresa","US-Mexico Border",2019-03-01,"Personal Vehicle Passengers",-106.67903,31.85,19.2442,5.8,96713.5071213146
"76","Otay Mesa","US-Mexico Border",2019-03-01,"Buses",-117.05333,32.57333,19.2442,5.8,21258.4841860499
"77","San Ysidro","US-Mexico Border",2019-03-01,"Buses",-117.02667,32.54306,19.2442,5.8,11915.3611793589
"78","Nogales","US-Mexico Border",2019-03-01,"Bus Passengers",-110.93361,31.34028,19.2442,5.8,10168.2065228441
"79","Lukeville","US-Mexico Border",2019-03-01,"Personal Vehicles",-112.815,31.8825,19.2442,5.8,7333.4570851922
"80","Roseau","US-Canada Border",2019-03-01,"Personal Vehicles",-95.81074,48.77518,19.2442,5.8,1404.71187341001
"81","Skagway","US-Canada Border",2019-03-01,"Personal Vehicle Passengers",-135.30656,59.47197,19.2442,5.8,-10170.9153887185
"82","Fortuna","US-Canada Border",2019-03-01,"Truck Containers Empty",-103.77906,48.91086,19.2442,5.8,523.403712898802
"83","Frontier","US-Canada Border",2019-03-01,"Trucks",-117.78134,48.91016,19.2442,5.8,835.139616178105
"84","Vanceboro","US-Canada Border",2019-03-01,"Trains",-67.42955,45.55984,19.2442,5.8,341.779504350231
"85","Baudette","US-Canada Border",2019-03-01,"Bus Passengers",-94.72512,48.70731,19.2442,5.8,414.39820935256
"86","Sarles","US-Canada Border",2019-03-01,"Buses",-98.99457,48.94105,19.2442,5.8,362.288647652564
"87","Fort Kent","US-Canada Border",2019-03-01,"Bus Passengers",-68.58458,47.26878,19.2442,5.8,250.385763999908
"88","Grand Portage","US-Canada Border",2019-03-01,"Truck Containers Full",-89.68472,47.96389,19.2442,5.8,1057.20574787727
"89","Buffalo-Niagara Falls","US-Canada Border",2019-03-01,"Train Passengers",-79.05694,43.09444,19.2442,5.8,35759.217188274
"90","Calexico","US-Mexico Border",2019-03-01,"Pedestrians",-115.49806,32.67889,19.2442,5.8,447146.367123619
